gameid,objectSet,text
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,2,blue block
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,5,lint brush
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,7,candle
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,8,mouse
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,3,cassette tape
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,6,expo eraser
8834-ddbb439f-b8ec-4e20-8bf0-07bbfe5bb277,4,larger measuring cup
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,7,candle
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,1,sunglasses
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,8,computer mouse
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,5,hairbrush on the bottom
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,2,blue B block
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,6,grey whiteboard eraser
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,4,glass measuring cup
