gameid,trialNum,distractorType,context,hidden,numDistractors,colorMention,shapeMention,textureMention
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,22,diff_shape,far,yes,2,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,23,shape_only,close,no,3,TRUE,TRUE,FALSE
1141-78f9cc33-80b2-460f-a3b3-52eff020c08c,24,shape_only,close,yes,4,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,1,diff_shape,far,no,2,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,2,diff_shape,far,no,3,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,3,color_shape,close,no,3,FALSE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,4,diff_shape,far,yes,2,FALSE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,5,texture_shape,close,yes,3,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,6,texture_shape,close,no,2,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,7,diff_shape,far,yes,2,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,8,texture_shape,close,yes,3,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,9,shape_only,close,no,4,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,10,diff_shape,far,yes,2,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,11,texture_shape,close,yes,3,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,12,diff_shape,far,no,4,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,13,color_shape,close,yes,2,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,14,diff_shape,far,no,3,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,15,color_shape,close,no,2,FALSE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,16,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,17,diff_shape,far,yes,2,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,18,diff_shape,far,yes,4,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,19,shape_only,close,no,4,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,20,texture_shape,close,yes,2,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,21,diff_shape,far,no,4,TRUE,TRUE,FALSE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,22,shape_only,close,yes,2,TRUE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,23,color_shape,close,no,2,FALSE,TRUE,TRUE
1185-86cb1927-6496-45f8-9bff-78096ec538c0,24,diff_shape,far,no,2,TRUE,TRUE,FALSE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,1,color_shape,close,yes,2,TRUE,TRUE,TRUE
1266-eda1d15d-a467-463f-8ead-dc652f77220e,2,diff_shape,far,no,2,TRUE,TRUE,TRUE
