iterationName	gameid	time	distractorX	distractorY	targetX	targetY	mouseX	mouseY	eventType
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050489	1500	1500	900	1500	886	922	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050491	1500	1500	900	1500	886	922	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050494	1500	1500	900	1500	886	929	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050495	1500	1500	900	1500	886	929	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050497	1500	1500	900	1500	886	929	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050507	1500	1500	900	1500	886	947	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050512	1500	1500	900	1500	886	947	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050513	1500	1500	900	1500	886	947	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050522	1500	1500	900	1500	886	954	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050527	1500	1500	900	1500	886	954	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050529	1500	1500	900	1500	886	954	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050542	1500	1500	900	1500	886	965	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050544	1500	1500	900	1500	886	965	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050547	1500	1500	900	1500	886	965	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050556	1500	1500	900	1500	886	982	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050570	1500	1500	900	1500	886	982	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050572	1500	1500	900	1500	886	982	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050576	1500	1500	900	1500	886	993	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050578	1500	1500	900	1500	886	993	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050580	1500	1500	900	1500	886	993	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050591	1500	1500	900	1500	886	1011	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050602	1500	1500	900	1500	886	1011	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050605	1500	1500	900	1500	886	1011	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050608	1500	1500	900	1500	886	1025	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050610	1500	1500	900	1500	886	1025	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050612	1500	1500	900	1500	886	1025	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050624	1500	1500	900	1500	886	1054	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050630	1500	1500	900	1500	886	1054	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050632	1500	1500	900	1500	886	1054	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050641	1500	1500	900	1500	886	1068	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050656	1500	1500	900	1500	886	1068	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050657	1500	1500	900	1500	886	1068	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050662	1500	1500	900	1500	886	1079	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050665	1500	1500	900	1500	886	1079	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050668	1500	1500	900	1500	886	1079	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050673	1500	1500	900	1500	886	1104	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050679	1500	1500	900	1500	886	1104	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050680	1500	1500	900	1500	886	1104	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050698	1500	1500	900	1500	886	1111	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050703	1500	1500	900	1500	886	1111	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050705	1500	1500	900	1500	886	1111	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050709	1500	1500	900	1500	886	1136	updateMouse
pilot0	4870-8600f6e9-3b31-45b9-9728-d98bc8eca28a	1521507050712	1500	1500	900	1500	886	1136	updateMouse
